movie_id,cast_id
1919,2627
1919,5762
1919,6208
1919,11063
1919,15037
1919,15114
1919,22025
1919,22860
1919,22936
1919,24550
1919,27549
1919,28238
1919,38085
1919,15115
1919,22864
1919,28038
1919,28396
1919,31279
1919,31967
1919,33971
1919,34649
1919,38083
1919,15116
1919,25352
1919,25362
1919,15117
1919,28064
1919,59390
1919,2304
1919,15118
1919,8415
1919,15119
1919,16192
1919,32971
1919,38549
1919,9443
1919,9992
1919,15120
1919,16199
1919,18651
1919,28049
1919,28058
1919,30092
1919,596
1919,15121
1919,19081
1919,20641
1919,20937
1919,24021
1919,35256
1919,41986
1919,48553
1919,54671
1919,519
1919,8430
1919,15122
1919,22869
1919,23612
1919,24979
1919,28040
1919,28756
1919,38070
1919,38173
1919,40138
1919,42453
1919,42518
1919,3381
1919,5543
1919,6822
1919,15123
1919,18366
1919,18645
1919,20549
1919,22558
1919,23332
1919,28377
1919,28432
1920,6995
1920,15124
1920,9771
1920,15125
1920,15126
1920,43395
1920,3363
1920,11987
1920,14565
1920,15127
1920,16595
1920,24451
1920,31249
1920,48637
1920,49863
1920,53374
1920,15128
1920,16596
1920,19509
1920,20351
1921,15129
1921,15130
1921,15131
1921,4696
1921,15132
1921,4695
1921,15133
1921,15134
1922,13883
1922,15135
1922,15136
1922,20971
1922,60225
1922,62544
1922,7654
1922,15137
1922,29225
1922,60381
1922,60394
1922,15138
1922,7897
1922,15139
1922,39177
1922,41515
1922,54623
1922,15140
1922,44223
1922,53723
1922,61322
1922,15141
1922,15142
1922,39782
1922,62904
1922,15143
1922,15144
1922,40990
1922,61069
1923,1523
1923,15145
1923,15146
1923,17062
1923,15147
1923,25676
1923,54435
1923,15148
1923,15149
1923,15150
1923,17066
1924,3177
1924,3754
1924,13169
1924,13910
1924,15151
1924,29642
1924,38359
1924,44576
1924,53762
1924,8833
1924,15152
1924,20023
1924,20139
1924,23469
1924,39901
1924,49945
1924,50545
1924,62213
1924,4880
1924,15153
1924,26923
1924,36043
1924,50548
1924,11158
1924,15154
1924,15155
1924,15156
1924,15157
1924,32851
1924,36164
1924,41833
1924,49413
1924,59131
1925,13429
1925,14470
1925,15158
1925,17633
1925,23241
1925,42736
1925,15159
1925,16911
1925,37285
1925,1372
1925,2588
1925,4582
1925,11634
1925,11973
1925,15160
1925,43027
1925,46582
1925,15161
1925,15696
1925,44787
1925,56041
1925,15162
1925,15163
1925,15164
1925,15165
1926,15166
1926,29596
1926,10641
1926,15167
1926,40458
1926,15168
1926,53665
1926,15169
1926,23724
1926,30236
1926,40516
1926,63005
1926,15170
1926,15171
1926,21979
1926,15172
1926,15173
1926,26970
1926,39721
1926,15174
1926,27424
1926,53522
1926,15175
1926,15176
1927,1
1928,15177
1928,15178
1928,15179
1928,15180
1928,15181
1928,15182
1929,510
1929,617
1929,1234
1929,6284
1929,6890
1929,8411
1929,8427
1929,15183
1929,16194
1929,20099
1929,23608
1929,23875
1929,24978
1929,28397
1929,30797
1929,31783
1929,32388
1929,36878
1929,37465
1929,51528
1929,53025
1929,3380
1929,5204
1929,6531
1929,15184
1929,23329
1929,24020
1929,28053
1929,28337
1929,31964
1929,38170
1929,49314
1929,49334
1929,49346
1929,9446
1929,15185
1929,28031
1929,42448
1929,48555
1929,53034
1929,5197
1929,6271
1929,6904
1929,8414
1929,8440
1929,9444
1929,10365
1929,11066
1929,15186
1929,16190
1929,19206
1929,23330
1929,23888
1929,23963
1929,24586
1929,25843
1929,28395
1929,31779
1929,31957
1929,34626
1929,37463
1929,38846
1929,38860
1929,40136
1929,40642
1929,41901
1929,42519
1929,51539
1929,15187
1929,23337
1929,28035
1929,28062
1929,28515
1929,45522
1929,610
1929,8463
1929,8526
1929,9994
1929,15188
1929,16189
1929,26453
1929,28330
1929,38174
1929,15189
1929,490
1929,12218
1929,15190
1929,22022
1929,22939
1929,23880
1929,24553
1929,28059
1929,30802
1929,33919
1929,509
1929,2288
1929,6285
1929,12206
1929,15191
1929,28503
1929,34625
1929,37569
1929,37589
1929,41926
1929,619
1929,5202
1929,8412
1929,8470
1929,15054
1929,15192
1929,16186
1929,21426
1929,25859
1929,29482
1929,31962
1929,41313
1929,41978
1929,42443
1929,51534
1929,54665
1930,4583
1930,15193
1930,37538
1930,46588
1930,49033
1930,15194
1930,15195
1930,46103
1930,15196
1930,11857
1930,15197
1930,15198
1930,15199
1930,17935
1931,14453
1931,15200
1931,15201
1931,13176
1931,15202
1931,15203
1931,15204
1931,15205
1931,15206
1931,15207
1932,6922
1932,15208
1932,15217
1932,20053
1932,29425
1932,41594
1932,62875
1932,4862
1932,13433
1932,13876
1932,15209
1932,15218
1932,31214
1932,39771
1932,41591
1932,42303
1932,13442
1932,15210
1932,15219
1932,51379
1932,62499
1932,8742
1932,12352
1932,15211
1932,15220
1932,15212
1932,15221
1932,15596
1932,39773
1932,3419
1932,15213
1932,15222
1932,15214
1932,15223
1932,15215
1932,15224
1932,15216
1932,15225
1933,6922
1933,15208
1933,15217
1933,20053
1933,29425
1933,41594
1933,62875
1933,4862
1933,13433
1933,13876
1933,15209
1933,15218
1933,31214
1933,39771
1933,41591
1933,42303
1933,13442
1933,15210
1933,15219
1933,51379
1933,62499
1933,8742
1933,12352
1933,15211
1933,15220
1933,15212
1933,15221
1933,15596
1933,39773
1933,3419
1933,15213
1933,15222
1933,15214
1933,15223
1933,15215
1933,15224
1933,15216
1933,15225
1933,15226
1933,20055
1933,15227
1933,15228
1934,15229
1934,33754
1934,47579
1934,15230
1934,15231
1934,15232
1934,15233
1934,15234
1934,37492
1934,54740
1934,15235
1934,15236
1934,15237
1934,15238
1934,15239
1934,15240
1934,15241
1934,15242
1934,15243
1934,15244
1935,1
1936,742
1936,8743
1936,11650
1936,16973
1936,17045
1936,29721
1936,34943
1937,6511
1937,9037
1937,9140
1937,15245
1937,25635
1937,28346
1937,30707
1937,39155
1937,48471
1937,49293
1937,57646
1937,3168
1937,15246
1937,22437
1937,50644
1937,51024
1937,51041
1937,15247
1937,15248
1937,15249
1937,15250
1937,15251
1937,25639
1937,15252
1937,15253
1937,15254
1937,15255
1937,15256
1937,15257
1937,15258
1937,15259
1937,47215
1937,15260
1937,15261
1938,15262
1938,15263
1938,15264
1938,15265
1938,15266
1938,15267
1938,15268
1938,15269
1938,15270
1938,15271
1938,15272
1939,1589
1939,4119
1939,11341
1939,15273
1939,15569
1939,18196
1939,28439
1939,32566
1939,35367
1939,38428
1939,41049
1939,44489
1939,44610
1939,57589
1939,62523
1939,63258
1939,15274
1939,30039
1939,35084
1939,15275
1939,17725
1939,21176
1939,24230
1939,42372
1939,53224
1939,62464
1939,15276
1939,15277
1939,11371
1939,15278
1939,26280
1939,15279
1939,33303
1939,34505
1939,15280
1939,15336
1939,29808
1939,30040
1939,31094
1939,33431
1939,35035
1939,36348
1939,44108
1939,56732
1939,15281
1939,15282
1939,17289
1939,17899
1939,19494
1939,21880
1939,24866
1939,32030
1939,32732
1939,33422
1940,1823
1940,7931
1940,8239
1940,15283
1940,15308
1940,15894
1940,17718
1940,17786
1940,24381
1940,25410
1940,34307
1940,35292
1940,35392
1940,36100
1940,36654
1940,37824
1940,40143
1940,40161
1940,40256
1940,43369
1940,43794
1940,45070
1940,45259
1940,48270
1940,50387
1940,51087
1940,51365
1940,51666
1940,53166
1940,53325
1940,62013
1940,62462
1940,874
1940,14687
1940,15284
1940,22852
1940,33115
1940,38961
1940,51722
1940,55895
1940,15285
1940,15292
1940,15310
1940,33247
1940,35719
1940,47697
1940,49497
1940,53110
1940,60262
1940,62634
1940,6967
1940,15286
1940,28580
1940,34293
1940,42375
1940,62354
1940,3104
1940,8202
1940,15287
1940,15567
1940,28895
1940,29791
1940,33777
1940,37172
1940,44607
1940,45072
1940,47091
1940,52909
1940,56462
1940,56665
1940,57341
1940,63031
1940,3137
1940,5255
1940,7928
1940,15288
1940,20722
1940,27124
1940,33387
1940,56185
1940,57591
1940,62525
1940,15289
1940,15311
1941,1726
1941,11327
1941,11355
1941,13265
1941,14728
1941,15290
1941,17722
1941,21138
1941,33331
1941,33444
1941,35322
1941,35385
1941,37163
1941,38423
1941,45575
1941,47083
1941,47592
1941,49495
1941,50996
1941,53055
1941,58654
1941,8958
1941,13223
1941,14668
1941,15291
1941,15314
1941,17735
1941,21103
1941,21158
1941,24248
1941,24367
1941,31080
1941,33235
1941,33321
1941,33442
1941,34166
1941,34275
1941,34512
1941,35370
1941,37167
1941,40699
1941,41289
1941,44120
1941,45503
1941,51764
1941,63037
1941,15285
1941,15292
1941,15310
1941,33247
1941,35719
1941,47697
1941,49497
1941,53110
1941,60262
1941,62634
1941,1584
1941,1669
1941,1679
1941,1685
1941,1695
1941,1804
1941,1811
1941,1822
1941,15293
1941,49496
1941,50997
1941,15294
1941,33167
1941,33483
1941,35361
1941,36661
1941,37997
1941,51086
1941,55264
1941,56862
1941,56920
1941,15295
1941,35433
1941,54541
1941,55268
1941,10423
1941,15296
1941,3108
1941,15297
1941,35803
1941,47033
1942,14669
1942,15298
1942,15313
1942,18204
1942,21188
1942,27005
1942,33220
1942,33234
1942,34233
1942,34268
1942,35343
1942,40080
1942,41288
1942,14734
1942,15299
1942,18120
1942,18205
1942,33446
1942,33484
1942,36650
1942,57395
